Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	"Option=Wall R-5, Exterior"	"Option=Wall R-10, Exterior"	"Option=Wall R-15, Exterior"	sampling_probability
CR07	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	4.84E-05
CR08	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	6.90E-05
CR09	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	0.000124821
CR10	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	1	0	0	0	6.01E-06
CR11	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	1	0	0	0	1.70E-05
CR02	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00024632
CR03	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000505206
CR04	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000634802
CR05	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000103423
CR06	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000274201
CR07	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00253433
CR08	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000416543
CR09	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000626426
CR10	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	2.30E-05
CR11	<1940	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00106137
CR02	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	6.67E-05
CR03	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	8.22E-05
CR04	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000176082
CR05	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	3.46E-05
CR06	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	6.61E-05
CR07	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000875803
CR08	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	0.0002515
CR09	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000271554
CR10	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	1.45E-05
CR11	1940s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000413705
CR02	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000152132
CR03	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000124765
CR04	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000339303
CR05	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	8.49E-05
CR06	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000129428
CR07	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00134773
CR08	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000469984
CR09	1950s	Multi-Family with 5+ Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00067566
